,customer_id,Recency,Frequency,Monetary,r_quartile,f_quartile,m_quartile,RFM_Score,customer_category,state,age_range
1229,1303,10,6,4352.37,1,3,1,131,Diamond,NSW,"(54.5, 72.25]"
2467,2605,115,5,4346.57,4,3,1,431,Silver,VIC,"(36.75, 54.5]"
3003,3170,44,6,4344.71,2,3,1,231,Platinum,NSW,"(18.929, 36.75]"
3009,3178,29,5,4339.76,2,3,1,231,Platinum,VIC,"(36.75, 54.5]"
9,13,27,7,4337.38,2,2,1,221,Platinum,NSW,"(54.5, 72.25]"
1301,1379,28,5,4337.31,2,3,1,231,Platinum,NSW,"(18.929, 36.75]"
40,47,35,7,4332.1900000000005,2,2,1,221,Platinum,NSW,"(36.75, 54.5]"
1829,1932,89,8,4328.47,4,1,1,411,Silver,VIC,"(54.5, 72.25]"
319,339,58,5,4327.24,3,3,1,331,Gold,NSW,"(36.75, 54.5]"
1553,1641,63,9,4326.200000000001,3,1,1,311,Gold,NSW,"(36.75, 54.5]"
1982,2096,132,5,4320.42,4,3,1,431,Silver,QLD,"(36.75, 54.5]"
1508,1594,0,6,4320.299999999999,1,3,1,131,Diamond,NSW,"(18.929, 36.75]"
1103,1169,62,7,4318.2,3,2,1,321,Gold,VIC,"(54.5, 72.25]"
1117,1184,5,6,4314.89,1,3,1,131,Diamond,QLD,"(18.929, 36.75]"
3127,3307,16,5,4311.99,1,3,1,131,Diamond,NSW,"(18.929, 36.75]"
2799,2955,19,8,4306.129999999999,2,1,1,211,Platinum,NSW,"(36.75, 54.5]"
3048,3220,40,8,4304.219999999999,2,1,1,211,Platinum,NSW,"(18.929, 36.75]"
206,220,15,6,4304.11,1,3,1,131,Diamond,VIC,"(36.75, 54.5]"
2407,2543,22,4,4303.86,2,4,1,241,Gold,NSW,"(18.929, 36.75]"
3281,3478,29,6,4297.849999999999,2,3,1,231,Platinum,NSW,"(18.929, 36.75]"
2416,2552,35,6,4292.35,2,3,1,231,Platinum,VIC,"(36.75, 54.5]"
1587,1676,87,5,4291.110000000001,4,3,1,431,Silver,VIC,"(54.5, 72.25]"
3084,3262,1,10,4290.81,1,1,1,111,Diamond,NSW,"(54.5, 72.25]"
479,507,36,7,4290.7699999999995,2,2,1,221,Platinum,NSW,"(36.75, 54.5]"
3185,3375,12,8,4285.94,1,1,1,111,Diamond,QLD,"(36.75, 54.5]"
802,849,27,6,4284.21,2,3,1,231,Platinum,QLD,"(18.929, 36.75]"
2425,2561,1,4,4283.02,1,4,1,141,Diamond,VIC,"(36.75, 54.5]"
1906,2014,54,7,4281.320000000001,3,2,1,321,Gold,VIC,"(36.75, 54.5]"
2036,2152,1,9,4281.08,1,1,1,111,Diamond,VIC,"(18.929, 36.75]"
3016,3186,19,5,4279.33,2,3,1,231,Platinum,NSW,"(36.75, 54.5]"
606,640,10,8,4278.6,1,1,1,111,Diamond,QLD,"(54.5, 72.25]"
356,377,6,12,4276.97,1,1,1,111,Diamond,NSW,"(18.929, 36.75]"
2461,2599,53,7,4275.0,3,2,1,321,Gold,NSW,"(36.75, 54.5]"
2175,2297,37,5,4274.88,2,3,1,231,Platinum,NSW,"(36.75, 54.5]"
1401,1483,29,8,4273.54,2,1,1,211,Platinum,NSW,"(36.75, 54.5]"
927,986,75,8,4272.97,3,1,1,311,Gold,NSW,"(18.929, 36.75]"
1178,1249,106,5,4269.85,4,3,1,431,Silver,NSW,"(54.5, 72.25]"
1333,1411,35,6,4268.32,2,3,1,231,Platinum,QLD,"(18.929, 36.75]"
2037,2154,38,6,4268.17,2,3,1,231,Platinum,VIC,"(18.929, 36.75]"
1036,1101,113,5,4267.42,4,3,1,431,Silver,QLD,"(36.75, 54.5]"
1423,1505,18,5,4263.17,2,3,1,231,Platinum,NSW,"(36.75, 54.5]"
815,865,121,7,4261.0,4,2,1,421,Silver,NSW,"(54.5, 72.25]"
1432,1516,37,5,4256.32,2,3,1,231,Platinum,NSW,"(18.929, 36.75]"
3228,3421,28,9,4255.89,2,1,1,211,Platinum,NSW,"(36.75, 54.5]"
54,61,47,6,4254.240000000001,3,3,1,331,Gold,QLD,"(18.929, 36.75]"
2015,2130,1,8,4253.77,1,1,1,111,Diamond,QLD,"(18.929, 36.75]"
2856,3016,0,5,4253.5,1,3,1,131,Diamond,NSW,"(54.5, 72.25]"
3090,3268,132,6,4250.460000000001,4,3,1,431,Silver,NSW,"(36.75, 54.5]"
42,49,36,5,4248.68,2,3,1,231,Platinum,NSW,"(36.75, 54.5]"
749,794,22,7,4248.67,2,2,1,221,Platinum,NSW,"(18.929, 36.75]"
2500,2640,67,11,4246.56,3,1,1,311,Gold,NSW,"(36.75, 54.5]"
1555,1643,38,8,4244.32,2,1,1,211,Platinum,VIC,"(36.75, 54.5]"
1718,1817,31,11,4244.099999999999,2,1,1,211,Platinum,NSW,"(36.75, 54.5]"
545,577,2,11,4242.34,1,1,1,111,Diamond,NSW,"(36.75, 54.5]"
3086,3264,23,8,4240.24,2,1,1,211,Platinum,NSW,"(54.5, 72.25]"
2464,2602,71,8,4240.08,3,1,1,311,Gold,VIC,"(36.75, 54.5]"
1859,1964,102,6,4239.32,4,3,1,431,Silver,NSW,"(54.5, 72.25]"
3124,3304,78,10,4236.21,3,1,1,311,Gold,VIC,"(18.929, 36.75]"
1058,1123,10,5,4235.8,1,3,1,131,Diamond,VIC,"(36.75, 54.5]"
3265,3461,136,7,4233.2,4,2,1,421,Silver,QLD,"(18.929, 36.75]"
2647,2793,34,8,4232.85,2,1,1,211,Platinum,NSW,"(18.929, 36.75]"
17,21,6,5,4229.41,1,3,1,131,Diamond,NSW,"(36.75, 54.5]"
744,788,39,7,4228.66,2,2,1,221,Platinum,QLD,"(36.75, 54.5]"
677,719,11,8,4227.84,1,1,1,111,Diamond,NSW,"(54.5, 72.25]"
3192,3382,19,10,4222.77,2,1,1,211,Platinum,VIC,"(54.5, 72.25]"
614,648,57,7,4222.63,3,2,1,321,Gold,NSW,"(18.929, 36.75]"
110,119,30,4,4217.24,2,4,1,241,Gold,QLD,"(36.75, 54.5]"
2093,2213,15,5,4212.47,1,3,1,131,Diamond,NSW,"(18.929, 36.75]"
930,989,25,5,4207.499999999999,2,3,1,231,Platinum,NSW,"(18.929, 36.75]"
547,579,52,9,4204.6,3,1,1,311,Gold,NSW,"(36.75, 54.5]"
2006,2121,89,9,4204.3,4,1,1,411,Silver,NSW,"(18.929, 36.75]"
155,166,63,8,4197.44,3,1,1,311,Gold,NSW,"(18.929, 36.75]"
2136,2257,64,5,4193.32,3,3,1,331,Gold,NSW,"(18.929, 36.75]"
1026,1091,4,10,4183.81,1,1,1,111,Diamond,NSW,"(54.5, 72.25]"
2339,2472,85,6,4181.0,3,3,1,331,Gold,VIC,"(36.75, 54.5]"
3172,3360,57,8,4179.51,3,1,1,311,Gold,NSW,"(36.75, 54.5]"
2955,3120,20,7,4179.11,2,2,1,221,Platinum,NSW,"(18.929, 36.75]"
2235,2361,22,7,4178.45,2,2,1,221,Platinum,NSW,"(18.929, 36.75]"
2623,2769,46,6,4177.84,3,3,1,331,Gold,QLD,"(18.929, 36.75]"
1303,1381,113,5,4177.61,4,3,1,431,Silver,NSW,"(18.929, 36.75]"
444,469,101,10,4177.209999999999,4,1,2,412,Silver,NSW,"(54.5, 72.25]"
497,528,134,7,4175.150000000001,4,2,2,422,Silver,NSW,"(54.5, 72.25]"
1081,1147,165,6,4173.67,4,3,2,432,Silver,NSW,"(54.5, 72.25]"
2145,2266,29,10,4169.83,2,1,2,212,Platinum,NSW,"(36.75, 54.5]"
859,912,40,7,4164.21,2,2,2,222,Platinum,NSW,"(36.75, 54.5]"
1940,2049,65,6,4162.97,3,3,2,332,Gold,VIC,"(36.75, 54.5]"
1920,2029,1,9,4156.3099999999995,1,1,2,112,Diamond,VIC,"(36.75, 54.5]"
1500,1586,16,6,4154.0199999999995,1,3,2,132,Diamond,NSW,"(36.75, 54.5]"
2711,2859,10,8,4153.82,1,1,2,112,Diamond,VIC,"(36.75, 54.5]"
694,736,11,6,4151.86,1,3,2,132,Diamond,QLD,"(36.75, 54.5]"
1127,1194,28,8,4148.57,2,1,2,212,Platinum,VIC,"(54.5, 72.25]"
2948,3113,109,8,4144.86,4,1,2,412,Silver,VIC,"(36.75, 54.5]"
866,920,90,6,4144.19,4,3,2,432,Silver,QLD,"(18.929, 36.75]"
2076,2195,2,6,4144.05,1,3,2,132,Diamond,NSW,"(36.75, 54.5]"
2514,2656,138,7,4142.75,4,2,2,422,Silver,NSW,"(36.75, 54.5]"
1116,1183,153,5,4140.91,4,3,2,432,Silver,QLD,"(18.929, 36.75]"
778,824,9,4,4137.78,1,4,2,142,Diamond,QLD,"(54.5, 72.25]"
1961,2072,8,13,4136.84,1,1,2,112,Diamond,NSW,"(54.5, 72.25]"
2484,2623,10,5,4136.08,1,3,2,132,Diamond,NSW,"(18.929, 36.75]"
2001,2116,105,4,4128.63,4,4,2,442,Bronze,NSW,"(18.929, 36.75]"
2857,3017,57,6,4124.12,3,3,2,332,Gold,NSW,"(54.5, 72.25]"
2182,2304,3,7,4121.78,1,2,2,122,Diamond,VIC,"(36.75, 54.5]"
3036,3208,53,8,4121.17,3,1,2,312,Gold,NSW,"(54.5, 72.25]"
2696,2843,20,6,4117.49,2,3,2,232,Platinum,VIC,"(18.929, 36.75]"
2567,2712,16,6,4116.13,1,3,2,132,Diamond,NSW,"(18.929, 36.75]"
1549,1637,143,8,4115.36,4,1,2,412,Silver,NSW,"(36.75, 54.5]"
2704,2851,9,8,4113.780000000001,1,1,2,112,Diamond,VIC,"(18.929, 36.75]"
1225,1298,141,5,4113.36,4,3,2,432,Silver,NSW,"(54.5, 72.25]"
1282,1358,3,8,4113.04,1,1,2,112,Diamond,NSW,"(36.75, 54.5]"
165,177,37,12,4108.6,2,1,2,212,Platinum,NSW,"(54.5, 72.25]"
1969,2083,15,9,4106.38,1,1,2,112,Diamond,NSW,"(18.929, 36.75]"
1157,1227,61,12,4101.860000000001,3,1,2,312,Gold,QLD,"(36.75, 54.5]"
2492,2632,7,4,4100.59,1,4,2,142,Diamond,NSW,"(36.75, 54.5]"
1802,1903,16,4,4098.86,1,4,2,142,Diamond,QLD,"(54.5, 72.25]"
1703,1801,65,8,4098.59,3,1,2,312,Gold,NSW,"(36.75, 54.5]"
47,54,67,7,4098.210000000001,3,2,2,322,Gold,VIC,"(54.5, 72.25]"
386,407,9,9,4096.06,1,1,2,112,Diamond,QLD,"(36.75, 54.5]"
467,495,128,6,4087.04,4,3,2,432,Silver,NSW,"(36.75, 54.5]"
288,308,25,6,4086.21,2,3,2,232,Platinum,NSW,"(54.5, 72.25]"
1745,1844,41,7,4085.48,2,2,2,222,Platinum,QLD,"(36.75, 54.5]"
1713,1812,22,10,4084.2799999999997,2,1,2,212,Platinum,NSW,"(36.75, 54.5]"
3030,3202,11,8,4083.36,1,1,2,112,Diamond,VIC,"(36.75, 54.5]"
2394,2529,98,7,4083.33,4,2,2,422,Silver,VIC,"(54.5, 72.25]"
3180,3370,42,7,4078.8199999999997,2,2,2,222,Platinum,NSW,"(18.929, 36.75]"
1750,1849,136,6,4077.2599999999998,4,3,2,432,Silver,QLD,"(36.75, 54.5]"
3220,3413,25,4,4076.1800000000003,2,4,2,242,Gold,QLD,"(18.929, 36.75]"
2160,2281,38,7,4075.38,2,2,2,222,Platinum,NSW,"(36.75, 54.5]"
1133,1200,79,9,4075.1699999999996,3,1,2,312,Gold,QLD,"(18.929, 36.75]"
3203,3394,19,5,4073.2,2,3,2,232,Platinum,NSW,"(18.929, 36.75]"
1483,1567,24,7,4071.8199999999997,2,2,2,222,Platinum,VIC,"(36.75, 54.5]"
834,886,1,7,4067.6499999999996,1,2,2,122,Diamond,NSW,"(18.929, 36.75]"
2979,3145,68,6,4067.6399999999994,3,3,2,332,Gold,NSW,"(18.929, 36.75]"
864,918,16,5,4066.2400000000002,1,3,2,132,Diamond,QLD,"(18.929, 36.75]"
168,180,11,7,4065.3500000000004,1,2,2,122,Diamond,QLD,"(54.5, 72.25]"
1841,1946,88,13,4063.82,4,1,2,412,Silver,NSW,"(36.75, 54.5]"
443,468,94,6,4063.59,4,3,2,432,Silver,NSW,"(54.5, 72.25]"
1776,1876,138,5,4057.63,4,3,2,432,Silver,VIC,"(18.929, 36.75]"
1782,1882,128,6,4054.85,4,3,2,432,Silver,VIC,"(36.75, 54.5]"
2582,2728,7,8,4054.5899999999997,1,1,2,112,Diamond,NSW,"(18.929, 36.75]"
291,311,61,6,4054.48,3,3,2,332,Gold,NSW,"(54.5, 72.25]"
115,124,2,7,4054.2499999999995,1,2,2,122,Diamond,QLD,"(36.75, 54.5]"
1051,1116,7,3,4053.92,1,4,2,142,Diamond,NSW,"(54.5, 72.25]"
1011,1074,16,8,4053.68,1,1,2,112,Diamond,NSW,"(36.75, 54.5]"
574,608,85,8,4050.1099999999997,3,1,2,312,Gold,NSW,"(18.929, 36.75]"
3183,3373,44,5,4048.46,2,3,2,232,Platinum,QLD,"(36.75, 54.5]"
1897,2005,5,6,4047.83,1,3,2,132,Diamond,NSW,"(36.75, 54.5]"
2498,2638,83,9,4047.2499999999995,3,1,2,312,Gold,NSW,"(36.75, 54.5]"
1550,1638,11,4,4046.88,1,4,2,142,Diamond,NSW,"(36.75, 54.5]"
1115,1182,5,7,4046.13,1,2,2,122,Diamond,QLD,"(18.929, 36.75]"
1790,1891,81,7,4045.2,3,2,2,322,Gold,NSW,"(54.5, 72.25]"
471,499,55,11,4043.5799999999995,3,1,2,312,Gold,NSW,"(54.5, 72.25]"
1523,1609,61,5,4041.5999999999995,3,3,2,332,Gold,QLD,"(18.929, 36.75]"
662,704,10,10,4034.4599999999996,1,1,2,112,Diamond,QLD,"(36.75, 54.5]"
244,261,50,9,4033.1499999999996,3,1,2,312,Gold,NSW,"(18.929, 36.75]"
3077,3253,5,3,4031.6499999999996,1,4,2,142,Diamond,NSW,"(36.75, 54.5]"
1516,1602,7,5,4026.12,1,3,2,132,Diamond,NSW,"(36.75, 54.5]"
2738,2886,39,8,4022.79,2,1,2,212,Platinum,NSW,"(36.75, 54.5]"
2188,2310,15,6,4022.41,1,3,2,132,Diamond,QLD,"(36.75, 54.5]"
2950,3115,195,5,4020.91,4,3,2,432,Silver,VIC,"(36.75, 54.5]"
2459,2597,5,6,4017.66,1,3,2,132,Diamond,NSW,"(36.75, 54.5]"
914,971,48,5,4015.7799999999997,3,3,2,332,Gold,VIC,"(18.929, 36.75]"
2744,2892,12,5,4015.0199999999995,1,3,2,132,Diamond,VIC,"(54.5, 72.25]"
781,827,49,8,4014.42,3,1,2,312,Gold,NSW,"(18.929, 36.75]"
1247,1322,63,4,4008.84,3,4,2,342,Silver,NSW,"(18.929, 36.75]"
2158,2279,35,8,4008.76,2,1,2,212,Platinum,NSW,"(36.75, 54.5]"
2271,2397,53,9,4002.3199999999997,3,1,2,312,Gold,QLD,"(54.5, 72.25]"
3050,3224,51,9,4001.52,3,1,2,312,Gold,VIC,"(54.5, 72.25]"
656,697,11,4,3996.6,1,4,2,142,Diamond,NSW,"(54.5, 72.25]"
118,127,23,10,3993.7099999999996,2,1,2,212,Platinum,QLD,"(36.75, 54.5]"
3027,3198,101,4,3989.35,4,4,2,442,Bronze,NSW,"(54.5, 72.25]"
2553,2698,12,7,3987.6499999999996,1,2,2,122,Diamond,VIC,"(54.5, 72.25]"
524,556,9,5,3985.03,1,3,2,132,Diamond,NSW,"(36.75, 54.5]"
2970,3135,121,7,3983.97,4,2,2,422,Silver,NSW,"(36.75, 54.5]"
2742,2890,86,7,3978.8899999999994,4,2,2,422,Silver,VIC,"(54.5, 72.25]"
472,500,24,8,3977.8100000000004,2,1,2,212,Platinum,NSW,"(54.5, 72.25]"
1935,2044,5,5,3977.45,1,3,2,132,Diamond,NSW,"(36.75, 54.5]"
2685,2831,14,5,3975.17,1,3,2,132,Diamond,VIC,"(36.75, 54.5]"
3224,3417,95,8,3975.1400000000003,4,1,2,412,Silver,NSW,"(36.75, 54.5]"
1842,1947,35,9,3974.81,2,1,2,212,Platinum,NSW,"(36.75, 54.5]"
325,345,19,7,3971.4599999999996,2,2,2,222,Platinum,NSW,"(18.929, 36.75]"
685,727,61,6,3970.0299999999997,3,3,2,332,Gold,QLD,"(18.929, 36.75]"
1449,1533,104,8,3968.52,4,1,2,412,Silver,NSW,"(36.75, 54.5]"
3157,3344,10,7,3962.0600000000004,1,2,2,122,Diamond,NSW,"(36.75, 54.5]"
1389,1470,1,8,3961.3999999999996,1,1,2,112,Diamond,VIC,"(54.5, 72.25]"
2137,2258,52,7,3957.53,3,2,2,322,Gold,NSW,"(18.929, 36.75]"
2736,2884,14,8,3957.41,1,1,2,112,Diamond,NSW,"(36.75, 54.5]"
299,319,71,5,3955.9100000000003,3,3,2,332,Gold,NSW,"(54.5, 72.25]"
1913,2022,13,5,3955.17,1,3,2,132,Diamond,QLD,"(36.75, 54.5]"
994,1056,24,7,3954.42,2,2,2,222,Platinum,NSW,"(36.75, 54.5]"
2705,2852,25,6,3954.0,2,3,2,232,Platinum,VIC,"(36.75, 54.5]"
3199,3390,18,5,3952.8899999999994,2,3,2,232,Platinum,NSW,"(54.5, 72.25]"
400,421,56,6,3952.1500000000005,3,3,2,332,Gold,QLD,"(36.75, 54.5]"
3,6,64,5,3946.55,3,3,2,332,Gold,NSW,"(54.5, 72.25]"
1216,1289,11,6,3940.4799999999996,1,3,2,132,Diamond,NSW,"(36.75, 54.5]"
347,368,13,9,3939.7299999999996,1,1,2,112,Diamond,VIC,"(36.75, 54.5]"
1876,1982,50,8,3939.1699999999996,3,1,2,312,Gold,NSW,"(36.75, 54.5]"
3120,3300,15,6,3936.4400000000005,1,3,2,132,Diamond,VIC,"(36.75, 54.5]"
2433,2569,75,7,3935.08,3,2,2,322,Gold,NSW,"(36.75, 54.5]"
1987,2102,17,7,3934.9900000000002,1,2,2,122,Diamond,QLD,"(36.75, 54.5]"
1958,2068,159,5,3933.8799999999997,4,3,2,432,Silver,NSW,"(54.5, 72.25]"
954,1014,4,7,3933.79,1,2,2,122,Diamond,NSW,"(18.929, 36.75]"
348,369,101,8,3931.7699999999995,4,1,2,412,Silver,NSW,"(36.75, 54.5]"
2460,2598,87,5,3931.13,4,3,2,432,Silver,NSW,"(36.75, 54.5]"
270,289,44,9,3924.11,2,1,2,212,Platinum,QLD,"(54.5, 72.25]"
2019,2134,81,5,3923.5700000000006,3,3,2,332,Gold,VIC,"(18.929, 36.75]"
1887,1994,2,6,3922.29,1,3,2,132,Diamond,NSW,"(54.5, 72.25]"
2295,2425,8,9,3921.8199999999997,1,1,2,112,Diamond,VIC,"(36.75, 54.5]"
1775,1875,98,6,3921.2599999999993,4,3,2,432,Silver,VIC,"(18.929, 36.75]"
3234,3427,1,8,3921.0000000000005,1,1,2,112,Diamond,NSW,"(36.75, 54.5]"
2957,3122,143,5,3920.9000000000005,4,3,2,432,Silver,NSW,"(18.929, 36.75]"
501,532,28,6,3920.83,2,3,2,232,Platinum,VIC,"(36.75, 54.5]"
3061,3237,176,7,3919.849999999999,4,2,2,422,Silver,NSW,"(36.75, 54.5]"
2935,3100,20,4,3919.5699999999997,2,4,2,242,Gold,NSW,"(54.5, 72.25]"
1710,1809,27,6,3918.1499999999996,2,3,2,232,Platinum,NSW,"(36.75, 54.5]"
446,471,48,6,3918.1099999999997,3,3,2,332,Gold,NSW,"(54.5, 72.25]"
2021,2136,10,4,3917.47,1,4,2,142,Diamond,VIC,"(18.929, 36.75]"
132,142,4,11,3917.34,1,1,2,112,Diamond,QLD,"(36.75, 54.5]"
1767,1867,2,8,3914.7,1,1,2,112,Diamond,QLD,"(36.75, 54.5]"
2128,2248,51,8,3914.4999999999995,3,1,2,312,Gold,VIC,"(54.5, 72.25]"
2886,3047,34,5,3909.1400000000003,2,3,2,232,Platinum,VIC,"(36.75, 54.5]"
213,227,26,5,3906.03,2,3,2,232,Platinum,VIC,"(36.75, 54.5]"
2097,2217,22,7,3905.419999999999,2,2,2,222,Platinum,NSW,"(18.929, 36.75]"
2283,2412,17,6,3903.57,1,3,2,132,Diamond,NSW,"(54.5, 72.25]"
2847,3006,30,4,3901.96,2,4,2,242,Gold,NSW,"(18.929, 36.75]"
2009,2124,57,6,3900.3199999999997,3,3,2,332,Gold,QLD,"(18.929, 36.75]"
1848,1953,10,7,3899.7800000000007,1,2,2,122,Diamond,NSW,"(18.929, 36.75]"
2962,3127,35,4,3898.4999999999995,2,4,2,242,Gold,VIC,"(54.5, 72.25]"
720,763,74,6,3894.5099999999993,3,3,2,332,Gold,QLD,"(36.75, 54.5]"
3055,3230,69,5,3890.0,3,3,2,332,Gold,VIC,"(54.5, 72.25]"
201,215,3,8,3889.3900000000003,1,1,2,112,Diamond,NSW,"(36.75, 54.5]"
1621,1713,6,7,3889.18,1,2,2,122,Diamond,NSW,"(36.75, 54.5]"
2185,2307,81,11,3887.0700000000006,3,1,2,312,Gold,VIC,"(36.75, 54.5]"
1105,1171,34,9,3879.3199999999997,2,1,2,212,Platinum,VIC,"(54.5, 72.25]"
1033,1098,8,8,3879.1400000000003,1,1,2,112,Diamond,QLD,"(54.5, 72.25]"
1339,1417,56,7,3873.42,3,2,2,322,Gold,QLD,"(18.929, 36.75]"
626,662,86,7,3873.0000000000005,4,2,2,422,Silver,NSW,"(18.929, 36.75]"
2788,2942,9,8,3872.2299999999996,1,1,2,112,Diamond,VIC,"(18.929, 36.75]"
2507,2649,129,4,3870.96,4,4,2,442,Bronze,NSW,"(18.929, 36.75]"
1484,1568,139,4,3870.4799999999996,4,4,2,442,Bronze,VIC,"(36.75, 54.5]"
908,965,60,4,3867.74,3,4,2,342,Silver,VIC,"(18.929, 36.75]"
1348,1426,48,7,3867.3399999999997,3,2,2,322,Gold,NSW,"(36.75, 54.5]"
2827,2984,158,5,3865.9700000000007,4,3,2,432,Silver,NSW,"(18.929, 36.75]"
207,221,18,6,3865.68,2,3,2,232,Platinum,VIC,"(36.75, 54.5]"
1443,1527,41,8,3855.9300000000003,2,1,2,212,Platinum,NSW,"(18.929, 36.75]"
2168,2289,59,5,3855.0,3,3,2,332,Gold,VIC,"(36.75, 54.5]"
2458,2596,72,5,3854.79,3,3,2,332,Gold,NSW,"(36.75, 54.5]"
1280,1356,22,6,3853.4199999999996,2,3,2,232,Platinum,NSW,"(36.75, 54.5]"
442,467,169,6,3850.3199999999997,4,3,2,432,Silver,NSW,"(54.5, 72.25]"
2853,3013,4,9,3849.1899999999996,1,1,2,112,Diamond,VIC,"(18.929, 36.75]"
2426,2562,101,7,3848.2200000000003,4,2,2,422,Silver,VIC,"(36.75, 54.5]"
3297,3495,13,7,3847.65,1,2,2,122,Diamond,NSW,"(36.75, 54.5]"
60,68,84,3,3842.5599999999995,3,4,2,342,Silver,VIC,"(54.5, 72.25]"
254,272,91,7,3842.0700000000006,4,2,2,422,Silver,VIC,"(36.75, 54.5]"
1447,1531,42,7,3839.1799999999994,2,2,2,222,Platinum,NSW,"(36.75, 54.5]"
563,596,85,3,3836.34,3,4,2,342,Silver,QLD,"(36.75, 54.5]"
2347,2481,20,7,3836.24,2,2,2,222,Platinum,NSW,"(54.5, 72.25]"
2379,2513,106,7,3831.16,4,2,2,422,Silver,QLD,"(36.75, 54.5]"
918,976,170,6,3830.68,4,3,2,432,Silver,NSW,"(18.929, 36.75]"
438,463,59,7,3829.7,3,2,2,322,Gold,NSW,"(36.75, 54.5]"
742,786,9,7,3828.7400000000002,1,2,2,122,Diamond,QLD,"(36.75, 54.5]"
2072,2191,12,5,3823.7700000000004,1,3,2,132,Diamond,NSW,"(36.75, 54.5]"
2790,2946,31,10,3823.3799999999997,2,1,2,212,Platinum,VIC,"(18.929, 36.75]"
392,413,167,5,3822.8,4,3,2,432,Silver,NSW,"(36.75, 54.5]"
1267,1342,3,5,3822.2,1,3,2,132,Diamond,NSW,"(36.75, 54.5]"
2102,2222,59,6,3821.2700000000004,3,3,2,332,Gold,QLD,"(36.75, 54.5]"
2605,2751,3,8,3819.8100000000004,1,1,2,112,Diamond,NSW,"(18.929, 36.75]"
1435,1519,8,11,3819.5299999999997,1,1,2,112,Diamond,NSW,"(36.75, 54.5]"
746,791,123,6,3819.0,4,3,2,432,Silver,NSW,"(18.929, 36.75]"
819,870,100,7,3818.9700000000007,4,2,2,422,Silver,NSW,"(36.75, 54.5]"
1507,1593,53,6,3818.36,3,3,2,332,Gold,NSW,"(18.929, 36.75]"
1845,1950,6,9,3817.1399999999994,1,1,2,112,Diamond,NSW,"(36.75, 54.5]"
193,206,77,4,3816.6499999999996,3,4,2,342,Silver,NSW,"(36.75, 54.5]"
2650,2796,8,7,3816.43,1,2,2,122,Diamond,NSW,"(54.5, 72.25]"
751,796,6,7,3815.9300000000003,1,2,2,122,Diamond,NSW,"(18.929, 36.75]"
848,901,82,4,3812.88,3,4,2,342,Silver,NSW,"(36.75, 54.5]"
2375,2509,25,8,3812.53,2,1,2,212,Platinum,NSW,"(36.75, 54.5]"
889,945,14,7,3812.27,1,2,2,122,Diamond,QLD,"(36.75, 54.5]"
396,417,70,7,3807.6400000000003,3,2,2,322,Gold,QLD,"(36.75, 54.5]"
423,444,45,7,3807.4599999999996,3,2,2,322,Gold,VIC,"(36.75, 54.5]"
672,714,59,10,3806.1400000000003,3,1,2,312,Gold,VIC,"(18.929, 36.75]"
631,667,19,5,3802.78,2,3,2,232,Platinum,NSW,"(18.929, 36.75]"
3071,3247,44,8,3802.5499999999993,2,1,2,212,Platinum,QLD,"(36.75, 54.5]"
2483,2622,16,7,3800.0299999999997,1,2,2,122,Diamond,NSW,"(18.929, 36.75]"
1932,2041,80,6,3799.8599999999997,3,3,2,332,Gold,NSW,"(36.75, 54.5]"
910,967,66,4,3798.3500000000004,3,4,2,342,Silver,VIC,"(18.929, 36.75]"
2258,2384,59,6,3796.7000000000003,3,3,2,332,Gold,NSW,"(18.929, 36.75]"
1329,1407,0,9,3796.5299999999997,1,1,2,112,Diamond,VIC,"(18.929, 36.75]"
1761,1861,29,6,3793.8100000000004,2,3,2,232,Platinum,QLD,"(36.75, 54.5]"
2965,3130,0,5,3792.7799999999997,1,3,2,132,Diamond,VIC,"(54.5, 72.25]"
1310,1388,19,6,3792.12,2,3,2,232,Platinum,QLD,"(18.929, 36.75]"
976,1036,162,5,3787.0,4,3,2,432,Silver,QLD,"(18.929, 36.75]"
1064,1130,117,5,3784.98,4,3,2,432,Silver,NSW,"(36.75, 54.5]"
2572,2718,221,7,3783.3,4,2,2,422,Silver,NSW,"(54.5, 72.25]"
3141,3327,56,8,3782.79,3,1,2,312,Gold,VIC,"(54.5, 72.25]"
674,716,12,6,3777.5299999999997,1,3,2,132,Diamond,NSW,"(54.5, 72.25]"
2780,2934,61,6,3777.2599999999998,3,3,2,332,Gold,NSW,"(54.5, 72.25]"
2613,2759,110,5,3775.9,4,3,2,432,Silver,VIC,"(36.75, 54.5]"
3065,3241,7,7,3770.6300000000006,1,2,2,122,Diamond,QLD,"(36.75, 54.5]"
1629,1721,0,7,3766.3500000000004,1,2,2,122,Diamond,NSW,"(36.75, 54.5]"
652,693,10,5,3763.9199999999996,1,3,2,132,Diamond,NSW,"(36.75, 54.5]"
1643,1736,54,6,3759.2799999999997,3,3,2,332,Gold,VIC,"(36.75, 54.5]"
2766,2917,148,5,3758.87,4,3,2,432,Silver,QLD,"(36.75, 54.5]"
921,979,5,5,3756.9100000000003,1,3,2,132,Diamond,NSW,"(18.929, 36.75]"
412,433,15,9,3754.1600000000003,1,1,2,112,Diamond,NSW,"(36.75, 54.5]"
517,549,40,8,3751.75,2,1,2,212,Platinum,NSW,"(36.75, 54.5]"
2876,3036,156,5,3750.7200000000003,4,3,2,432,Silver,VIC,"(54.5, 72.25]"
